latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.196835,21.08856,113.0,7200,Europe/Warsaw,GMT+2

time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm)
2024-01-01,3.2,3.8,2.2,9.50
2024-01-02,3.6,5.4,2.5,1.40
2024-01-03,4.7,7.5,2.6,10.90
2024-01-04,5.8,7.2,2.9,4.30
2024-01-05,-1.8,-0.8,-3.1,0.70
2024-01-06,-2.5,-1.1,-4.5,2.90
2024-01-07,-7.3,-5.1,-9.4,0.00
2024-01-08,-10.9,-8.6,-12.8,0.00
2024-01-09,-10.2,-5.8,-13.5,0.00
2024-01-10,-6.4,-4.3,-9.1,0.00
2024-01-11,-2.0,0.8,-5.0,0.20
2024-01-12,-3.4,-0.6,-7.5,0.40
2024-01-13,-0.6,0.4,-1.5,2.70
2024-01-14,0.6,0.9,-0.1,2.40
2024-01-15,-0.1,0.7,-2.5,3.10
2024-01-16,-5.8,-2.2,-11.6,0.00
2024-01-17,-4.6,-0.9,-9.7,1.30
2024-01-18,-0.4,1.6,-2.6,3.40
2024-01-19,-3.2,-1.2,-5.3,0.00
2024-01-20,-0.6,0.7,-2.0,2.60
2024-01-21,-2.7,1.2,-9.4,0.00
2024-01-22,0.5,2.9,-2.3,0.50
2024-01-23,3.1,4.6,1.9,0.20
2024-01-24,3.9,7.7,0.5,7.00
2024-01-25,3.7,5.3,1.0,3.10
2024-01-26,0.9,2.0,0.3,2.10
2024-01-27,2.6,4.0,0.7,4.00
2024-01-28,2.3,4.3,-0.1,0.30
2024-01-29,1.8,5.7,-0.6,0.00
2024-01-30,2.4,7.0,-0.2,0.10
2024-01-31,4.1,7.7,1.0,0.30
2024-02-01,3.3,4.8,2.3,1.00
2024-02-02,3.2,5.4,1.4,1.10
2024-02-03,7.2,9.8,4.0,1.40
2024-02-04,5.1,5.9,3.5,2.40
2024-02-05,5.3,6.6,3.8,7.10
2024-02-06,7.2,8.4,3.9,9.50
2024-02-07,4.8,8.4,0.1,5.80
2024-02-08,0.3,2.0,-0.5,0.50
2024-02-09,0.5,1.6,-0.9,7.50
2024-02-10,4.4,8.2,1.8,0.20
2024-02-11,7.1,10.4,4.1,3.50
2024-02-12,7.8,9.1,6.0,4.40
2024-02-13,5.5,6.9,3.7,1.40
2024-02-14,3.5,8.1,-1.8,0.00
2024-02-15,5.4,7.6,4.0,0.00
2024-02-16,6.6,11.5,2.1,0.00
2024-02-17,7.6,11.4,5.0,4.70
2024-02-18,2.0,5.3,-1.0,0.00
2024-02-19,1.8,5.6,-1.2,3.60
2024-02-20,5.8,8.1,4.2,3.10
2024-02-21,5.5,6.9,3.5,3.60
2024-02-22,6.5,9.8,2.8,1.70
2024-02-23,8.0,9.4,6.9,7.20
2024-02-24,6.9,10.6,2.4,0.80
2024-02-25,6.7,13.3,1.9,0.10
