latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.196835,21.08856,113.0,7200,Europe/Warsaw,GMT+2

time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm)
2024-02-26,8.0,13.5,3.2,4.10
2024-02-27,10.3,15.8,5.9,0.00
2024-02-28,8.6,11.8,6.4,4.60
2024-02-29,7.1,9.1,4.8,0.00
2024-03-01,8.5,13.3,5.8,0.40
2024-03-02,7.8,13.0,4.5,0.00
2024-03-03,7.5,11.7,4.2,0.00
2024-03-04,5.2,9.3,3.1,0.30
2024-03-05,4.3,6.3,2.0,1.20
2024-03-06,5.3,7.8,2.8,0.50
2024-03-07,1.2,5.6,-2.9,0.00
2024-03-08,1.7,7.4,-5.2,0.00
2024-03-09,1.9,9.5,-3.8,0.00
2024-03-10,5.1,11.2,-0.6,0.20
2024-03-11,4.5,5.5,3.2,5.00
2024-03-12,5.7,8.0,4.0,1.50
2024-03-13,4.6,5.7,3.9,1.60
2024-03-14,5.8,10.0,2.5,0.00
2024-03-15,5.5,9.8,1.4,0.00
2024-03-16,9.3,15.7,4.6,3.80
2024-03-17,4.2,8.1,-0.3,2.80
2024-03-18,1.1,4.1,-1.2,3.00
2024-03-19,2.3,6.7,-1.5,0.00
2024-03-20,3.2,7.0,-2.0,0.00
2024-03-21,5.7,11.1,0.2,0.90
2024-03-22,8.0,9.8,6.6,3.40
2024-03-23,9.9,15.1,4.5,7.10
2024-03-24,4.2,7.8,1.6,1.00
2024-03-25,3.9,9.0,0.0,3.30
2024-03-26,5.8,12.1,-1.3,0.00
2024-03-27,10.4,16.3,5.0,0.00
2024-03-28,11.4,17.4,6.1,2.40
2024-03-29,10.7,15.9,7.0,1.50
2024-03-30,14.6,22.6,8.3,0.00
2024-03-31,17.3,24.0,12.7,0.30
2024-04-01,17.2,22.8,11.8,0.00
2024-04-02,11.0,16.2,9.2,9.40
2024-04-03,8.2,10.2,2.6,1.70
2024-04-04,6.8,13.4,0.4,1.70
2024-04-05,12.1,15.6,10.1,6.00
2024-04-06,13.3,17.6,8.9,5.00
2024-04-07,14.7,22.3,7.1,0.00
2024-04-08,18.4,25.8,12.3,0.00
2024-04-09,18.6,26.0,12.4,0.00
2024-04-10,14.4,17.4,12.0,0.00
2024-04-11,11.7,16.0,7.2,0.00
2024-04-12,12.7,16.1,8.3,0.10
2024-04-13,15.3,20.0,11.6,0.40
2024-04-14,14.5,18.7,7.9,2.80
2024-04-15,8.2,11.7,5.1,1.40
2024-04-16,8.1,11.0,5.5,1.80
2024-04-17,5.7,9.0,2.0,1.10
2024-04-18,4.5,7.8,0.4,1.80
2024-04-19,5.1,10.5,-0.1,4.70
2024-04-20,6.4,9.3,4.0,7.80
2024-04-21,4.5,7.1,1.3,1.80
2024-04-22,4.1,6.7,1.8,0.10
2024-04-23,4.8,9.1,1.6,0.20
2024-04-24,6.1,8.9,2.9,0.20
2024-04-25,7.3,11.7,4.1,1.50
2024-04-26,8.4,14.1,1.3,0.10
2024-04-27,11.7,17.6,5.2,0.10
2024-04-28,14.5,21.6,7.2,0.00
2024-04-29,18.1,24.7,12.0,0.00
2024-04-30,18.4,24.9,13.5,0.00
2024-05-01,18.0,24.7,11.5,0.00
2024-05-02,18.0,24.7,11.3,0.00
2024-05-03,18.7,25.7,10.6,0.00
2024-05-04,18.8,24.7,12.5,0.00
2024-05-05,19.7,25.8,11.2,0.00
2024-05-06,17.0,20.9,12.4,0.30
2024-05-07,12.2,15.5,8.4,0.10
2024-05-08,11.3,17.0,4.0,0.00
2024-05-09,12.3,17.8,5.2,0.00
2024-05-10,12.6,18.0,5.9,0.50
2024-05-11,11.8,15.1,8.1,0.00
2024-05-12,11.3,17.8,3.7,0.00
2024-05-13,13.0,19.6,5.2,0.00
2024-05-14,15.0,20.7,7.4,0.00
2024-05-15,14.8,19.5,8.4,0.00
2024-05-16,15.5,20.5,9.9,0.00
2024-05-17,16.5,21.5,10.0,0.00
2024-05-18,17.6,23.2,10.7,0.00
2024-05-19,18.1,23.6,12.1,1.30
2024-05-20,18.3,23.4,13.0,1.60
2024-05-21,19.6,26.5,12.6,0.00
2024-05-22,21.1,27.2,15.4,0.80
2024-05-23,18.6,20.8,15.8,3.80
2024-05-24,20.9,27.3,14.0,0.00
2024-05-25,20.4,26.2,14.5,0.30
2024-05-26,20.7,27.2,13.8,0.00
2024-05-27,21.3,27.7,14.0,0.00
2024-05-28,21.3,26.8,13.9,0.00
2024-05-29,20.2,24.9,15.2,0.40
2024-05-30,20.3,25.5,14.6,2.30
2024-05-31,19.6,24.2,13.7,0.00
2024-06-01,18.7,24.2,14.4,11.70
2024-06-02,17.8,22.5,14.3,4.90
2024-06-03,18.4,22.9,14.8,2.90
2024-06-04,17.5,20.4,14.9,3.80
2024-06-05,18.7,23.1,14.2,0.00
2024-06-06,18.2,21.6,14.6,1.90
2024-06-07,18.3,22.5,15.1,3.80
2024-06-08,16.8,22.1,10.5,0.00
2024-06-09,19.0,23.3,14.3,0.90
2024-06-10,17.1,21.0,13.2,7.00
2024-06-11,17.1,22.7,11.7,0.80
2024-06-12,14.3,18.7,9.4,0.00
2024-06-13,13.1,17.4,7.7,2.60
2024-06-14,14.8,19.8,8.0,0.10
2024-06-15,18.5,23.8,11.5,0.00
2024-06-16,19.7,25.9,15.2,3.40
2024-06-17,20.3,25.7,14.6,0.00
2024-06-18,22.2,27.3,16.5,0.90
2024-06-19,22.0,29.6,16.2,16.30
2024-06-20,17.4,22.3,11.9,1.60
2024-06-21,20.3,26.3,12.8,0.00
2024-06-22,22.5,27.5,18.5,0.20
2024-06-23,18.5,22.4,14.0,0.00
2024-06-24,18.2,21.7,13.8,0.00
2024-06-25,20.5,24.7,15.4,0.00
2024-06-26,23.2,28.8,16.4,0.00
2024-06-27,25.0,30.7,18.7,0.00
2024-06-28,24.1,28.3,19.4,4.80
2024-06-29,23.1,27.3,18.7,0.00
2024-06-30,25.6,33.9,19.9,4.90
2024-07-01,21.8,23.7,18.5,0.70
2024-07-02,17.3,20.2,14.7,4.70
2024-07-03,17.2,21.1,12.8,1.00
2024-07-04,17.8,22.5,14.1,0.40
2024-07-05,18.2,22.3,14.3,0.10
2024-07-06,22.6,29.1,14.6,0.00
2024-07-07,22.2,23.9,19.1,1.40
2024-07-08,21.3,25.8,15.6,0.00
2024-07-09,23.9,29.6,16.8,0.00
2024-07-10,27.1,33.1,20.7,0.10
2024-07-11,26.5,31.3,21.6,6.70
2024-07-12,24.3,29.7,18.8,2.20
2024-07-13,24.3,28.2,20.7,4.60
2024-07-14,20.0,24.2,16.5,13.50
2024-07-15,23.4,29.8,17.5,0.40
2024-07-16,25.8,31.8,19.7,7.60
2024-07-17,24.2,27.8,19.1,0.20
2024-07-18,21.8,26.1,17.1,0.00
2024-07-19,21.2,26.1,15.9,0.00
2024-07-20,21.4,26.3,14.4,0.00
2024-07-21,23.2,29.1,16.3,0.00
2024-07-22,24.6,30.7,17.4,0.00
2024-07-23,21.3,23.9,16.8,0.40
2024-07-24,19.8,25.7,15.5,2.80
2024-07-25,19.1,23.4,16.5,1.60
2024-07-26,19.5,23.4,15.2,0.30
2024-07-27,22.4,28.1,15.8,0.00
2024-07-28,20.2,25.5,16.9,14.00
2024-07-29,18.8,22.9,15.0,0.40
2024-07-30,19.5,24.4,14.1,0.00
2024-07-31,20.1,26.1,12.9,0.00
2024-08-01,21.1,27.4,13.7,0.00
2024-08-02,19.6,24.3,13.6,0.00
2024-08-03,19.4,23.6,15.6,6.30
2024-08-04,20.0,25.3,13.2,2.80
2024-08-05,17.2,18.6,16.0,9.40
2024-08-06,18.5,23.1,14.5,1.70
2024-08-07,20.1,24.1,14.7,1.00
2024-08-08,20.3,24.4,16.3,2.50
2024-08-09,20.3,23.9,17.3,1.70
2024-08-10,20.6,24.6,16.4,0.40
2024-08-11,19.6,24.2,15.9,0.10
2024-08-12,18.2,23.3,12.3,0.00
2024-08-13,18.0,23.4,11.4,0.00
2024-08-14,20.0,26.0,13.4,0.00
2024-08-15,22.6,29.5,15.5,0.00
2024-08-16,24.2,29.9,18.5,0.20
2024-08-17,24.9,31.2,17.2,0.00
2024-08-18,23.6,29.5,19.9,1.10
2024-08-19,21.6,27.4,16.7,13.50
2024-08-20,19.0,22.2,16.1,27.70
2024-08-21,20.2,26.7,16.5,6.00
2024-08-22,16.4,19.4,13.3,0.00
2024-08-23,18.7,24.6,12.3,0.00
2024-08-24,22.3,30.3,15.5,0.00
2024-08-25,24.3,31.6,19.0,0.10
2024-08-26,19.4,23.4,16.0,1.70
2024-08-27,19.9,25.0,14.8,0.70
2024-08-28,21.7,27.8,15.7,0.00
2024-08-29,24.3,30.7,18.3,0.00
2024-08-30,24.2,30.6,18.3,0.00
2024-08-31,20.9,25.8,17.6,0.10
2024-09-01,18.0,22.9,12.9,0.00
2024-09-02,19.8,24.9,14.7,0.90
2024-09-03,23.3,30.1,17.5,0.00
2024-09-04,22.8,29.4,16.5,0.40
2024-09-05,22.4,27.5,17.9,0.00
2024-09-06,22.6,27.6,17.7,0.00
2024-09-07,23.2,28.5,18.1,0.00
2024-09-08,22.8,28.1,18.5,0.00
2024-09-09,21.3,27.3,17.1,0.20
2024-09-10,17.0,19.7,14.6,8.30
2024-09-11,16.9,21.9,12.3,0.00
2024-09-12,16.0,21.4,11.4,0.40
2024-09-13,16.2,20.6,12.7,0.20
2024-09-14,17.8,21.5,16.0,13.40
2024-09-15,18.4,23.0,16.5,15.90
2024-09-16,18.9,24.2,14.3,0.00
2024-09-17,19.0,24.9,14.4,0.00
2024-09-18,17.8,23.7,12.6,0.70
2024-09-19,17.0,22.2,13.2,0.00
2024-09-20,15.5,22.0,9.9,0.00
2024-09-21,15.9,23.2,8.9,0.00
2024-09-22,16.4,23.2,10.4,0.00
2024-09-23,16.7,22.7,11.4,0.00
2024-09-24,17.7,24.2,11.2,0.00
2024-09-25,17.4,22.4,13.4,1.00
2024-09-26,17.1,20.4,12.7,0.00
2024-09-27,18.8,22.2,16.3,3.10
2024-09-28,14.7,17.8,11.2,2.10
2024-09-29,10.4,14.5,6.7,0.00
2024-09-30,8.9,13.7,4.0,0.00
2024-10-01,7.4,12.1,3.0,0.00
2024-10-02,10.6,14.6,6.2,5.50
2024-10-03,10.9,13.5,8.6,7.20
2024-10-04,10.0,12.8,6.7,0.00
2024-10-05,10.1,12.1,8.4,1.50
2024-10-06,9.3,10.9,8.1,6.20
2024-10-07,9.6,12.6,7.3,0.00
2024-10-08,12.5,19.8,6.9,0.00
2024-10-09,15.1,19.4,12.3,1.00
2024-10-10,16.4,21.5,12.8,0.70
2024-10-11,12.0,14.2,9.0,2.30
2024-10-12,7.9,12.5,3.1,0.00
2024-10-13,8.3,12.5,5.7,6.20
2024-10-14,9.6,10.7,8.4,2.70
2024-10-15,8.9,11.4,7.1,1.60
2024-10-16,7.0,11.4,2.8,0.00
2024-10-17,7.4,12.5,3.8,0.00
2024-10-18,8.9,15.0,4.5,0.00
2024-10-19,8.2,13.3,5.0,0.00
2024-10-20,7.6,13.6,3.0,0.00
2024-10-21,9.4,15.2,4.1,0.00
2024-10-22,12.5,16.5,9.0,0.00
2024-10-23,10.8,14.1,7.3,0.00
2024-10-24,6.7,11.1,3.5,0.00
2024-10-25,6.5,11.9,2.0,0.00
2024-10-26,10.1,16.7,5.4,0.00
2024-10-27,11.2,16.3,6.4,0.00
2024-10-28,10.4,12.8,7.7,0.10
2024-10-29,11.6,13.3,9.1,1.40
2024-10-30,12.6,14.6,11.4,0.70
2024-10-31,10.4,11.2,9.3,0.10
2024-11-01,11.3,13.1,10.1,0.00
2024-11-02,7.4,11.4,3.3,0.80
2024-11-03,3.6,7.4,-0.7,0.00
2024-11-04,6.4,8.8,1.5,0.00
2024-11-05,2.7,9.0,-1.1,0.00
2024-11-06,2.3,8.2,-1.4,0.00
2024-11-07,2.6,4.6,-0.7,0.10
2024-11-08,4.2,6.3,2.5,0.00
2024-11-09,4.2,6.3,3.2,0.00
2024-11-10,2.4,6.4,-1.2,0.00
2024-11-11,1.9,3.8,-0.3,0.00
2024-11-12,2.2,3.0,1.7,0.20
2024-11-13,1.4,2.4,0.7,0.90
2024-11-14,2.8,5.1,0.2,1.20
2024-11-15,5.7,7.2,4.6,0.20
2024-11-16,6.6,8.7,3.9,0.20
2024-11-17,4.9,5.8,3.4,1.30
2024-11-18,4.0,5.3,2.3,1.20
2024-11-19,4.0,7.7,1.5,4.80
2024-11-20,4.5,8.9,0.8,7.30
2024-11-21,0.7,1.4,-0.8,0.70
2024-11-22,-0.4,2.0,-3.0,1.10
2024-11-23,0.2,1.3,-1.3,0.00
2024-11-24,1.0,2.8,-0.7,0.80
2024-11-25,4.9,9.0,2.3,0.00
2024-11-26,4.7,8.3,1.8,2.10
2024-11-27,5.5,7.7,4.5,0.00
2024-11-28,4.7,6.5,2.9,7.20
2024-11-29,4.6,5.3,3.9,0.80
2024-11-30,3.7,4.9,1.8,0.10
2024-12-01,1.3,3.5,-1.2,0.00
2024-12-02,2.5,6.8,-0.3,0.00
2024-12-03,2.5,4.6,0.2,0.00
2024-12-04,4.1,5.4,2.1,0.40
2024-12-05,2.7,4.8,0.8,0.00
2024-12-06,2.1,3.8,0.3,0.20
2024-12-07,1.9,3.6,0.6,0.00
2024-12-08,1.7,2.7,0.5,3.50
2024-12-09,2.5,3.6,1.7,1.90
2024-12-10,1.1,1.6,0.7,0.00
2024-12-11,0.7,2.0,-0.6,0.40
2024-12-12,1.1,1.7,0.4,0.20
2024-12-13,-0.6,1.4,-2.5,0.10
2024-12-14,-0.9,1.2,-3.6,0.00
2024-12-15,1.8,3.7,0.0,2.10
2024-12-16,7.4,9.9,2.8,14.20
2024-12-17,7.8,8.5,7.1,5.10
2024-12-18,7.3,8.4,6.9,1.00
2024-12-19,9.2,9.8,8.2,1.30
2024-12-20,5.7,8.5,2.2,0.50
2024-12-21,2.9,4.5,1.3,0.00
2024-12-22,3.6,5.6,1.3,2.90
2024-12-23,3.0,4.1,1.6,0.40
2024-12-24,2.0,4.4,0.5,0.00
2024-12-25,1.2,3.9,-1.1,0.00
2024-12-26,0.0,2.6,-2.1,0.00
2024-12-27,0.5,1.5,-0.0,4.40
2024-12-28,0.7,2.3,-0.0,0.00
2024-12-29,1.3,3.6,-1.2,0.10
2024-12-30,1.1,2.1,-0.7,0.10
2024-12-31,2.1,4.0,0.1,0.00
