latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
54.516693,18.388998,17.0,7200,Europe/Warsaw,GMT+2

time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm)
2024-03-16,9.6,14.3,4.3,5.50
2024-03-17,2.1,4.7,0.3,3.60
2024-03-18,1.4,2.6,0.5,1.40
2024-03-19,1.6,5.6,-1.6,0.00
2024-03-20,4.7,9.1,-0.1,0.00
2024-03-21,6.5,8.5,3.3,5.30
2024-03-22,6.4,9.4,2.6,2.00
2024-03-23,5.9,8.0,3.0,0.90
2024-03-24,4.0,8.1,1.5,0.40
2024-03-25,4.0,8.3,-0.1,3.60
2024-03-26,5.0,10.5,-0.7,0.00
2024-03-27,10.1,15.7,4.6,0.00
2024-03-28,11.6,17.6,8.3,0.80
2024-03-29,10.8,14.8,6.4,0.00
2024-03-30,11.7,14.1,9.0,0.10
2024-03-31,16.2,21.8,11.9,0.00
2024-04-01,14.3,19.9,9.2,2.10
2024-04-02,10.5,13.6,4.8,1.00
2024-04-03,2.3,4.4,1.1,2.50
2024-04-04,5.2,10.1,1.1,3.40
2024-04-05,11.9,15.2,8.4,1.80
2024-04-06,12.6,16.4,7.9,7.00
2024-04-07,15.1,24.4,8.1,0.00
2024-04-08,15.5,21.9,10.1,0.00
2024-04-09,19.6,24.6,12.1,0.00
2024-04-10,11.4,17.1,7.6,0.00
2024-04-11,11.4,16.1,5.9,0.00
2024-04-12,13.7,16.7,11.8,1.70
2024-04-13,12.7,16.4,9.8,0.30
2024-04-14,11.5,14.0,7.1,1.90
2024-04-15,7.5,11.9,4.4,0.50
2024-04-16,5.3,7.1,3.2,17.10
2024-04-17,4.6,7.1,2.6,2.20
2024-04-18,4.1,6.7,0.6,1.70
2024-04-19,4.3,8.8,0.3,3.60
2024-04-20,2.7,4.4,-0.1,2.10
2024-04-21,2.3,4.3,0.3,1.30
2024-04-22,2.4,4.4,1.0,0.90
2024-04-23,3.2,6.6,0.1,1.00
2024-04-24,3.9,8.0,-0.4,0.00
2024-04-25,4.2,9.7,-0.0,0.40
2024-04-26,7.6,12.9,2.9,0.70
2024-04-27,12.2,17.9,6.4,1.20
2024-04-28,15.4,21.7,9.6,0.00
2024-04-29,15.7,21.7,9.9,0.20
2024-04-30,15.7,22.0,8.4,0.00
2024-05-01,17.1,21.3,13.5,0.00
2024-05-02,17.6,22.6,12.4,0.00
2024-05-03,17.9,23.4,12.4,0.00
2024-05-04,18.3,23.8,13.2,0.10
2024-05-05,16.6,24.1,9.6,3.00
2024-05-06,13.0,16.0,9.5,6.00
2024-05-07,8.6,11.5,4.3,0.00
2024-05-08,7.3,11.2,1.9,0.00
2024-05-09,11.0,17.6,3.1,0.60
2024-05-10,10.7,13.4,6.0,2.40
2024-05-11,8.3,10.6,4.3,0.30
2024-05-12,9.1,14.0,3.2,0.00
2024-05-13,11.2,17.0,4.6,0.00
2024-05-14,13.2,18.3,6.3,0.00
2024-05-15,15.5,19.6,11.0,0.00
2024-05-16,15.8,20.2,10.7,0.00
2024-05-17,16.1,20.0,11.0,0.00
2024-05-18,16.8,22.2,11.1,0.00
2024-05-19,17.7,22.7,11.8,0.10
2024-05-20,16.6,21.4,12.2,0.00
2024-05-21,16.4,20.3,12.0,0.00
2024-05-22,18.5,22.6,14.6,0.00
2024-05-23,18.3,21.0,15.3,1.80
2024-05-24,16.5,19.9,13.3,1.70
2024-05-25,19.0,24.3,11.5,0.00
2024-05-26,19.6,23.8,15.5,0.40
2024-05-27,21.9,27.9,16.0,0.00
2024-05-28,21.2,28.2,14.9,0.00
2024-05-29,16.1,19.2,13.6,4.30
2024-05-30,17.9,21.8,13.0,5.30
2024-05-31,19.3,23.5,15.5,0.10
2024-06-01,19.1,24.1,12.8,0.20
2024-06-02,18.8,23.4,14.8,0.20
2024-06-03,17.7,22.1,14.0,1.90
2024-06-04,16.8,21.2,13.2,0.00
2024-06-05,17.7,24.1,12.2,0.40
2024-06-06,14.8,18.5,10.8,1.20
2024-06-07,13.2,17.9,8.3,2.70
2024-06-08,16.6,21.2,10.0,0.20
2024-06-09,15.1,17.5,11.8,3.10
2024-06-10,15.5,19.5,10.8,0.00
2024-06-11,14.2,19.2,11.0,3.40
2024-06-12,13.7,17.7,10.1,1.60
2024-06-13,12.8,17.8,8.7,7.90
2024-06-14,13.2,17.3,7.3,0.60
2024-06-15,17.6,23.9,11.6,2.80
2024-06-16,16.2,19.5,13.7,2.50
2024-06-17,18.6,24.8,12.5,2.00
2024-06-18,19.2,22.7,14.5,1.20
2024-06-19,16.2,18.5,13.0,7.90
2024-06-20,16.1,20.2,12.7,0.00
2024-06-21,16.8,21.5,11.3,0.30
2024-06-22,18.2,22.8,15.2,20.60
2024-06-23,15.6,16.6,14.5,2.00
2024-06-24,17.2,20.8,13.2,0.30
2024-06-25,17.0,21.7,11.1,0.00
2024-06-26,21.0,25.2,15.4,0.00
2024-06-27,23.7,27.9,19.7,0.00
2024-06-28,23.5,28.8,18.0,11.40
2024-06-29,18.3,22.8,14.9,0.00
2024-06-30,23.0,31.0,16.7,10.20
2024-07-01,18.3,21.4,15.9,3.30
2024-07-02,15.0,16.3,14.0,34.10
2024-07-03,15.3,17.7,12.1,1.00
2024-07-04,15.6,19.3,11.4,5.50
2024-07-05,15.8,19.4,11.9,0.00
2024-07-06,20.5,26.5,13.5,0.00
2024-07-07,19.7,24.4,14.9,1.10
2024-07-08,18.5,23.4,14.1,3.10
2024-07-09,19.6,22.4,15.5,0.00
2024-07-10,24.0,30.4,18.9,0.20
2024-07-11,21.4,24.8,18.9,4.70
2024-07-12,19.8,23.4,17.0,0.10
2024-07-13,19.7,23.0,16.1,44.10
2024-07-14,18.4,22.8,14.5,6.70
2024-07-15,20.6,25.6,14.3,0.60
2024-07-16,23.3,29.4,18.6,2.80
2024-07-17,20.7,23.6,17.3,0.00
2024-07-18,18.7,22.6,15.8,0.10
2024-07-19,18.6,23.5,14.5,0.20
2024-07-20,19.0,24.5,13.2,0.00
2024-07-21,20.2,23.8,15.0,0.00
2024-07-22,21.9,27.7,18.3,11.50
2024-07-23,19.7,22.6,16.3,0.40
2024-07-24,18.2,21.5,15.5,5.40
2024-07-25,17.9,21.7,14.9,1.40
2024-07-26,18.0,23.2,12.4,0.30
2024-07-27,19.8,24.4,16.5,1.30
2024-07-28,16.6,18.3,15.0,42.90
2024-07-29,18.6,21.3,15.9,0.40
2024-07-30,18.5,22.3,15.1,0.00
2024-07-31,18.7,23.2,14.2,0.00
2024-08-01,18.1,22.7,14.2,0.00
2024-08-02,17.4,21.4,11.9,0.00
2024-08-03,18.3,22.9,13.9,2.00
2024-08-04,18.2,22.7,14.8,9.00
2024-08-05,17.7,20.7,15.4,1.40
2024-08-06,18.1,21.9,14.4,2.40
2024-08-07,18.3,22.8,14.3,0.20
2024-08-08,19.8,24.6,16.6,12.60
2024-08-09,19.4,23.9,15.5,6.30
2024-08-10,18.8,21.4,16.6,0.00
2024-08-11,18.1,20.7,15.4,0.70
2024-08-12,17.1,20.3,13.5,0.00
2024-08-13,16.9,21.6,11.8,0.00
2024-08-14,19.6,25.0,14.1,0.00
2024-08-15,21.5,27.8,16.4,0.20
2024-08-16,22.3,26.3,19.0,1.40
2024-08-17,21.1,25.5,17.5,3.10
2024-08-18,20.5,24.5,17.4,0.50
2024-08-19,18.8,21.5,14.2,0.20
2024-08-20,17.2,21.1,12.5,0.00
2024-08-21,18.4,24.0,14.9,6.40
2024-08-22,15.4,17.5,12.6,0.30
2024-08-23,20.0,24.5,14.9,0.20
2024-08-24,22.0,26.5,17.0,0.00
2024-08-25,21.7,26.6,16.4,0.00
2024-08-26,17.9,21.8,13.8,0.00
2024-08-27,18.5,23.5,14.0,0.00
2024-08-28,18.8,22.4,13.4,0.00
2024-08-29,23.9,29.4,18.5,0.00
2024-08-30,24.5,31.2,18.6,0.60
2024-08-31,17.5,20.8,13.5,6.20
2024-09-01,16.2,20.2,12.0,0.00
2024-09-02,16.8,19.9,13.0,0.10
2024-09-03,20.4,24.6,16.4,0.00
2024-09-04,22.2,25.3,18.2,0.00
2024-09-05,21.9,25.1,18.8,0.00
2024-09-06,21.6,24.7,18.2,0.00
2024-09-07,22.4,26.8,18.3,0.00
2024-09-08,23.2,28.4,18.8,0.00
2024-09-09,20.3,23.6,18.6,3.00
2024-09-10,16.8,19.9,13.2,5.20
2024-09-11,15.3,18.9,12.6,0.50
2024-09-12,12.5,13.9,11.4,7.30
2024-09-13,13.6,15.7,11.5,12.50
2024-09-14,16.2,17.0,15.3,2.40
2024-09-15,16.8,17.8,15.8,4.40
2024-09-16,19.0,21.7,16.9,0.00
2024-09-17,18.3,22.2,14.4,0.00
2024-09-18,17.5,22.4,13.1,0.00
2024-09-19,17.2,20.9,13.5,0.00
2024-09-20,16.9,21.9,13.4,0.00
2024-09-21,17.4,21.3,14.8,0.00
2024-09-22,16.4,19.9,12.5,0.00
2024-09-23,17.1,22.6,13.1,0.00
2024-09-24,17.4,22.8,12.5,0.40
2024-09-25,16.2,19.5,13.3,0.20
2024-09-26,16.1,18.8,13.4,7.40
2024-09-27,17.0,19.3,15.7,1.70
2024-09-28,13.4,15.8,10.1,0.10
2024-09-29,10.3,13.2,8.1,0.40
2024-09-30,9.7,13.3,4.9,0.00
2024-10-01,8.8,11.5,5.4,0.00
2024-10-02,9.3,13.5,4.2,0.00
2024-10-03,11.0,11.5,10.4,18.10
2024-10-04,11.3,13.3,9.9,1.20
2024-10-05,10.4,13.2,6.8,0.00
2024-10-06,9.3,12.2,5.7,0.10
2024-10-07,10.5,13.8,7.2,0.00
2024-10-08,12.6,16.8,8.5,0.00
2024-10-09,14.6,16.2,13.5,2.80
2024-10-10,15.2,19.4,13.2,0.10
2024-10-11,10.5,13.3,7.7,0.00
2024-10-12,9.5,14.0,6.8,0.00
2024-10-13,8.8,11.0,7.7,4.70
2024-10-14,10.5,12.6,8.7,1.80
2024-10-15,9.3,11.8,5.4,2.30
2024-10-16,7.8,11.5,3.7,0.00
2024-10-17,8.7,13.0,5.6,0.00
2024-10-18,10.2,14.4,6.7,0.00
2024-10-19,10.2,14.4,7.1,0.00
2024-10-20,10.3,13.3,8.1,0.00
2024-10-21,13.6,16.8,11.1,0.10
2024-10-22,14.2,18.8,10.3,1.90
2024-10-23,11.3,13.9,9.1,0.00
2024-10-24,9.2,13.1,7.0,0.00
2024-10-25,8.6,13.6,4.1,0.00
2024-10-26,10.7,15.3,7.9,0.00
2024-10-27,11.3,14.3,8.1,0.50
2024-10-28,10.3,12.9,7.4,1.50
2024-10-29,11.8,13.1,10.2,1.10
2024-10-30,12.1,13.1,10.2,0.40
2024-10-31,10.9,12.8,9.5,0.20
2024-11-01,12.5,14.3,10.2,3.10
2024-11-02,6.3,9.5,3.8,0.00
2024-11-03,6.8,11.0,3.2,0.20
2024-11-04,7.4,11.1,2.8,0.10
2024-11-05,6.9,11.1,3.6,0.00
2024-11-06,5.5,8.6,1.9,0.00
2024-11-07,6.8,8.8,4.4,0.00
2024-11-08,6.9,9.7,4.1,0.00
2024-11-09,4.6,6.0,3.8,0.00
2024-11-10,3.5,4.6,2.7,0.00
2024-11-11,2.2,4.1,0.9,0.00
2024-11-12,3.1,4.7,1.6,0.00
2024-11-13,4.5,5.6,3.5,0.70
2024-11-14,5.8,7.6,3.7,0.30
2024-11-15,6.9,9.2,4.1,0.00
2024-11-16,8.2,10.1,6.8,0.00
2024-11-17,6.3,8.3,4.8,2.70
2024-11-18,4.1,5.6,2.6,2.40
2024-11-19,2.5,3.8,1.4,11.40
2024-11-20,2.7,6.3,-0.1,3.10
2024-11-21,0.5,2.1,-0.5,5.40
2024-11-22,0.3,2.3,-1.0,1.50
2024-11-23,0.8,2.2,-1.0,4.00
2024-11-24,3.1,7.5,0.2,2.10
2024-11-25,11.7,14.4,8.1,0.70
2024-11-26,8.3,11.3,5.1,11.20
2024-11-27,4.6,6.6,2.4,0.10
2024-11-28,5.1,6.7,2.9,7.50
2024-11-29,5.5,7.4,3.6,1.60
2024-11-30,3.7,5.2,2.4,0.00
2024-12-01,2.7,5.3,1.0,0.00
2024-12-02,2.8,5.3,0.9,0.50
2024-12-03,5.4,6.4,4.8,0.70
2024-12-04,3.5,5.3,1.9,21.70
2024-12-05,2.8,4.5,0.7,0.10
2024-12-06,2.1,3.3,0.5,0.10
2024-12-07,2.4,3.4,1.2,0.00
2024-12-08,3.3,4.3,2.3,1.80
2024-12-09,3.9,4.5,3.5,7.20
2024-12-10,2.5,3.5,1.8,0.30
2024-12-11,3.0,4.5,1.6,0.10
2024-12-12,3.0,4.8,1.4,0.50
2024-12-13,1.1,3.0,-0.8,0.00
2024-12-14,-0.2,1.7,-1.2,0.20
2024-12-15,4.0,5.8,2.5,2.90
2024-12-16,8.4,9.5,7.0,8.20
2024-12-17,7.2,8.2,5.9,5.50
2024-12-18,7.4,10.5,5.3,4.40
2024-12-19,10.7,11.3,9.5,2.80
2024-12-20,5.1,6.8,3.3,1.90
2024-12-21,4.0,5.5,2.3,0.10
2024-12-22,4.8,6.6,3.4,8.20
2024-12-23,2.7,4.8,-1.1,0.20
2024-12-24,2.0,5.2,-0.5,0.00
2024-12-25,3.8,5.6,1.8,0.10
2024-12-26,6.3,7.9,5.4,0.00
2024-12-27,5.4,6.2,4.5,3.20
2024-12-28,4.7,5.5,4.3,0.10
2024-12-29,3.8,5.0,2.6,0.00
2024-12-30,5.0,6.0,3.9,0.80
2024-12-31,5.7,7.0,2.6,1.30
