latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
54.516693,18.388998,17.0,7200,Europe/Warsaw,GMT+2

time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm)
2024-01-01,3.0,4.2,2.1,2.70
2024-01-02,2.7,3.6,1.7,2.00
2024-01-03,-0.3,2.1,-2.3,13.80
2024-01-04,-2.9,-1.7,-4.4,6.50
2024-01-05,-4.6,-2.8,-9.2,0.20
2024-01-06,-2.6,-1.3,-5.1,1.00
2024-01-07,-6.0,-3.5,-7.4,0.40
2024-01-08,-7.0,-5.9,-7.8,0.10
2024-01-09,-3.7,-0.8,-8.2,0.00
2024-01-10,0.1,1.1,-0.7,0.00
2024-01-11,1.4,3.2,-0.0,0.50
2024-01-12,-0.2,2.2,-2.9,0.00
2024-01-13,0.9,2.2,-0.4,3.10
2024-01-14,1.8,2.3,1.4,2.90
2024-01-15,-0.1,1.4,-3.7,3.90
2024-01-16,-5.7,-4.1,-9.8,0.00
2024-01-17,-3.6,-0.7,-8.7,0.00
2024-01-18,-1.9,0.2,-3.1,0.20
2024-01-19,-1.4,0.2,-2.7,1.10
2024-01-20,0.5,2.0,-3.7,16.90
2024-01-21,-0.3,1.5,-5.7,0.00
2024-01-22,3.3,5.5,0.9,3.30
2024-01-23,4.4,5.3,3.3,0.30
2024-01-24,5.6,8.4,2.5,8.10
2024-01-25,3.3,5.3,1.5,3.20
2024-01-26,2.1,5.1,0.3,5.10
2024-01-27,3.1,4.5,1.5,4.90
2024-01-28,3.7,5.2,1.7,0.00
2024-01-29,3.6,6.6,1.2,0.00
2024-01-30,4.1,7.9,1.8,0.00
2024-01-31,4.6,7.1,1.2,0.20
2024-02-01,3.6,5.6,1.1,1.00
2024-02-02,3.6,6.0,1.8,1.50
2024-02-03,6.9,8.6,4.9,0.00
2024-02-04,4.5,5.2,3.8,3.10
2024-02-05,3.9,5.4,1.7,5.70
2024-02-06,4.0,8.3,1.0,24.40
2024-02-07,2.8,8.0,-0.6,1.40
2024-02-08,-0.3,3.1,-2.7,0.50
2024-02-09,-0.8,1.3,-3.7,3.20
2024-02-10,1.1,1.9,-0.2,10.70
2024-02-11,2.5,3.5,1.8,1.80
2024-02-12,4.5,5.8,3.6,3.40
2024-02-13,3.4,5.0,1.8,1.20
2024-02-14,4.4,8.2,1.7,0.70
2024-02-15,7.7,10.7,4.9,4.70
2024-02-16,11.0,13.5,9.2,0.20
2024-02-17,6.0,11.2,1.7,3.50
2024-02-18,2.2,5.6,-1.9,0.00
2024-02-19,2.9,4.2,1.7,5.70
2024-02-20,4.2,4.8,2.9,2.50
2024-02-21,6.1,9.2,4.1,3.00
2024-02-22,6.5,9.6,4.0,1.70
2024-02-23,7.9,9.9,4.8,1.40
2024-02-24,4.8,7.2,2.4,17.10
2024-02-25,5.7,9.9,2.4,0.00
2024-02-26,4.0,10.0,-0.5,0.00
2024-02-27,3.6,5.9,2.2,1.80
2024-02-28,3.2,5.0,2.2,5.30
2024-02-29,4.8,8.5,1.6,0.00
2024-03-01,9.2,13.3,6.5,0.40
2024-03-02,8.6,12.8,5.2,0.50
2024-03-03,7.6,11.7,4.6,0.00
2024-03-04,3.9,5.9,1.8,0.00
2024-03-05,3.0,4.4,1.9,3.90
2024-03-06,3.8,5.0,2.0,0.50
2024-03-07,1.1,4.9,-2.1,0.00
2024-03-08,-0.1,4.5,-3.1,0.00
2024-03-09,0.8,4.7,-2.8,0.00
2024-03-10,3.1,7.2,0.1,0.00
2024-03-11,3.2,3.9,2.4,15.00
2024-03-12,5.2,6.9,3.9,1.00
2024-03-13,5.4,7.8,2.3,0.00
2024-03-14,8.1,12.7,3.0,0.00
2024-03-15,10.9,14.6,8.1,0.00
